id,title,duration,director,actors,genres,year
827,The Warriors Gate,108,Matthias Hoene,"Mark Chao, Ni Ni, Dave Bautista, Sienna Guillory","Action,Adventure,Fantasy",2016
828,Grindhouse,191,Robert Rodriguez,"Kurt Russell, Rose McGowan, Danny Trejo, ZoÃ« Bell","Action,Horror,Thriller",2007
829,Disaster Movie,87,Jason Friedberg,"Carmen Electra, Vanessa Lachey,Nicole Parker, Matt Lanter",Comedy,2008
830,Rocky Balboa,102,Sylvester Stallone,"Sylvester Stallone, Antonio Tarver, Milo Ventimiglia, Burt Young","Drama,Sport",2006
831,Diary of a Wimpy Kid: Dog Days,94,David Bowers,"Zachary Gordon, Robert Capron, Devon Bostick,Steve Zahn","Comedy,Family",2012
832,Jane Eyre,120,Cary Joji Fukunaga,"Mia Wasikowska, Michael Fassbender, Jamie Bell, Su Elliot","Drama,Romance",2011
833,Fool's Gold,112,Andy Tennant,"Matthew McConaughey, Kate Hudson, Donald Sutherland, Alexis Dziena","Action,Adventure,Comedy",2008
834,The Dictator,83,Larry Charles,"Sacha Baron Cohen, Anna Faris, John C. Reilly, Ben Kingsley",Comedy,2012
835,The Loft,108,Erik Van Looy,"Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet","Mystery,Romance,Thriller",2014
836,Bacalaureat,128,Cristian Mungiu,"Adrian Titieni, Maria-Victoria Dragus, Lia Bugnar,Malina Manovici","Crime,Drama",2016
837,You Don't Mess with the Zohan,113,Dennis Dugan,"Adam Sandler, John Turturro, Emmanuelle Chriqui,Nick Swardson","Action,Comedy",2008
838,Exposed,102,Gee Malik Linton,"Ana de Armas, Keanu Reeves, Christopher McDonald, Mira Sorvino","Crime,Drama,Mystery",2016
839,Maudie,115,Aisling Walsh,"Ethan Hawke, Sally Hawkins, Kari Matchett, Zachary Bennett","Biography,Drama,Romance",2016
840,Horrible Bosses 2,108,Sean Anders,"Jason Bateman, Jason Sudeikis, Charlie Day, Jennifer Aniston","Comedy,Crime",2014
841,A Bigger Splash,125,Luca Guadagnino,"Tilda Swinton, Matthias Schoenaerts, Ralph Fiennes, Dakota Johnson","Drama,Thriller",2015
842,Melancholia,135,Lars von Trier,"Kirsten Dunst, Charlotte Gainsbourg, Kiefer Sutherland, Alexander SkarsgÃ¥rd",Drama,2011
843,The Princess and the Frog,97,Ron Clements,"Anika Noni Rose, Keith David, Oprah Winfrey, Bruno Campos","Animation,Adventure,Comedy",2009
844,Unstoppable,98,Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee","Action,Thriller",2010
845,Flight,138,Robert Zemeckis,"Denzel Washington, Nadine Velazquez, Don Cheadle, John Goodman","Drama,Thriller",2012
846,Home,94,Tim Johnson,"Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez","Animation,Adventure,Comedy",2015
847,La migliore offerta,131,Giuseppe Tornatore,"Geoffrey Rush, Jim Sturgess, Sylvia Hoeks,Donald Sutherland","Crime,Drama,Mystery",2013
848,Mean Dreams,108,Nathan Morlando,"Sophie NÃ©lisse, Josh Wiggins, Joe Cobden, Bill Paxton",Thriller,2016
849,42,128,Brian Helgeland,"Chadwick Boseman, T.R. Knight, Harrison Ford,Nicole Beharie","Biography,Drama,Sport",2013
850,21,123,Robert Luketic,"Jim Sturgess, Kate Bosworth, Kevin Spacey, Aaron Yoo","Crime,Drama,Thriller",2008
851,Begin Again,104,John Carney,"Keira Knightley, Mark Ruffalo, Adam Levine, Hailee Steinfeld","Drama,Music",2013
852,Out of the Furnace,116,Scott Cooper,"Christian Bale, Casey Affleck, Zoe Saldana, Woody Harrelson","Crime,Drama,Thriller",2013
853,Vicky Cristina Barcelona,96,Woody Allen,"Rebecca Hall, Scarlett Johansson, Javier Bardem,Christopher Evan Welch","Drama,Romance",2008
854,Kung Fu Panda,92,Mark Osborne,"Jack Black, Ian McShane,Angelina Jolie, Dustin Hoffman","Animation,Action,Adventure",2008
855,Barbershop: The Next Cut,111,Malcolm D. Lee,"Ice Cube, Regina Hall, Anthony Anderson, Eve","Comedy,Drama",2016
856,Terminator Salvation,115,McG,"Christian Bale, Sam Worthington, Anton Yelchin, Moon Bloodgood","Action,Adventure,Drama",2009
857,Freedom Writers,123,Richard LaGravenese,"Hilary Swank, Imelda Staunton, Patrick Dempsey, Scott Glenn","Biography,Crime,Drama",2007
858,The Hills Have Eyes,107,Alexandre Aja,"Ted Levine, Kathleen Quinlan, Dan Byrd, Emilie de Ravin",Horror,2006
859,Changeling,141,Clint Eastwood,"Angelina Jolie, Colm Feore, Amy Ryan, Gattlin Griffith","Biography,Drama,Mystery",2008
860,Remember Me,113,Allen Coulter,"Robert Pattinson, Emilie de Ravin, Caitlyn Rund,MoisÃ©s Acevedo","Drama,Romance",2010
861,Koe no katachi,129,Naoko Yamada,"Miyu Irino, Saori Hayami, Aoi Yuki, KenshÃ´ Ono","Animation,Drama,Romance",2016
862,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",81,Miguel Arteta,"Steve Carell, Jennifer Garner, Ed Oxenbould, Dylan Minnette","Comedy,Family",2014
863,Locke,85,Steven Knight,"Tom Hardy, Olivia Colman, Ruth Wilson, Andrew Scott",Drama,2013
864,The 9th Life of Louis Drax,108,Alexandre Aja,"Jamie Dornan, Aiden Longworth, Sarah Gadon,Aaron Paul","Mystery,Thriller",2016
865,Horns,120,Alexandre Aja,"Daniel Radcliffe, Juno Temple, Max Minghella, Joe Anderson","Drama,Fantasy,Horror",2013
866,Indignation,110,James Schamus,"Logan Lerman, Sarah Gadon, Tijuana Ricks, Sue Dahlman","Drama,Romance",2016
867,The Stanford Prison Experiment,122,Kyle Patrick Alvarez,"Ezra Miller, Tye Sheridan, Billy Crudup, Olivia Thirlby","Biography,Drama,History",2015
868,Diary of a Wimpy Kid: Rodrick Rules,99,David Bowers,"Zachary Gordon, Devon Bostick, Robert Capron,Rachael Harris","Comedy,Family",2011
869,Mission: Impossible III,126,J.J. Abrams,"Tom Cruise, Michelle Monaghan, Ving Rhames, Philip Seymour Hoffman","Action,Adventure,Thriller",2006
870,En man som heter Ove,116,Hannes Holm,"Rolf LassgÃ¥rd, Bahar Pars, Filip Berg, Ida Engvoll","Comedy,Drama",2015
871,Dragonball Evolution,85,James Wong,"Justin Chatwin, James Marsters, Yun-Fat Chow, Emmy Rossum","Action,Adventure,Fantasy",2009
872,Red Dawn,93,Dan Bradley,"Chris Hemsworth, Isabel Lucas, Josh Hutcherson, Josh Peck","Action,Thriller",2012
873,One Day,107,Lone Scherfig,"Anne Hathaway, Jim Sturgess, Patricia Clarkson,Tom Mison","Drama,Romance",2011
874,Life as We Know It,114,Greg Berlanti,"Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett","Comedy,Drama,Romance",2010
875,28 Weeks Later,100,Juan Carlos Fresnadillo,"Jeremy Renner, Rose Byrne, Robert Carlyle, Harold Perrineau","Drama,Horror,Sci-Fi",2007
876,Warm Bodies,98,Jonathan Levine,"Nicholas Hoult, Teresa Palmer, John Malkovich,Analeigh Tipton","Comedy,Horror,Romance",2013
877,Blue Jasmine,98,Woody Allen,"Cate Blanchett, Alec Baldwin, Peter Sarsgaard, Sally Hawkins",Drama,2013
878,G.I. Joe: Retaliation,110,Jon M. Chu,"Dwayne Johnson, Channing Tatum, Adrianne Palicki,Byung-hun Lee","Action,Adventure,Sci-Fi",2013
879,Wrath of the Titans,99,Jonathan Liebesman,"Sam Worthington, Liam Neeson, Rosamund Pike, Ralph Fiennes","Action,Adventure,Fantasy",2012
880,Shin Gojira,120,Hideaki Anno,"Hiroki Hasegawa, Yutaka Takenouchi,Satomi Ishihara, Ren Ãsugi","Action,Adventure,Drama",2016
881,Saving Mr. Banks,125,John Lee Hancock,"Emma Thompson, Tom Hanks, Annie Rose Buckley, Colin Farrell","Biography,Comedy,Drama",2013
882,Transcendence,119,Wally Pfister,"Johnny Depp, Rebecca Hall, Morgan Freeman, Cillian Murphy","Drama,Mystery,Romance",2014
883,Rio,96,Carlos Saldanha,"Jesse Eisenberg, Anne Hathaway, George Lopez,Karen Disher","Animation,Adventure,Comedy",2011
884,Equals,101,Drake Doremus,"Nicholas Hoult, Kristen Stewart, Vernetta Lopez,Scott Lawrence","Drama,Romance,Sci-Fi",2015
885,Babel,143,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,"Brad Pitt, Cate Blanchett, Gael GarcÃ­a Bernal, Mohamed Akhzam",Drama,2006
886,The Tree of Life,139,Terrence Malick,"Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken","Drama,Fantasy",2011
887,The Lucky One,101,Scott Hicks,"Zac Efron, Taylor Schilling, Blythe Danner, Riley Thomas Stewart","Drama,Romance",2012
888,Piranha 3D,88,Alexandre Aja,"Elisabeth Shue, Jerry O'Connell, Richard Dreyfuss,Ving Rhames","Comedy,Horror,Thriller",2010
889,50/50,100,Jonathan Levine,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard","Comedy,Drama,Romance",2011
890,The Intent,104,Femi Oyeniran,"Dylan Duffus, Scorcher,Shone Romulus, Jade Asha","Crime,Drama",2016
891,This Is 40,134,Judd Apatow,"Paul Rudd, Leslie Mann, Maude Apatow, Iris Apatow","Comedy,Romance",2012
892,Real Steel,127,Shawn Levy,"Hugh Jackman, Evangeline Lilly, Dakota Goyo,Anthony Mackie","Action,Drama,Family",2011
893,Sex and the City,145,Michael Patrick King,"Sarah Jessica Parker, Kim Cattrall, Cynthia Nixon, Kristin Davis","Comedy,Drama,Romance",2008
894,Rambo,92,Sylvester Stallone,"Sylvester Stallone, Julie Benz, Matthew Marsden, Graham McTavish","Action,Thriller,War",2008
895,Planet Terror,105,Robert Rodriguez,"Rose McGowan, Freddy RodrÃ­guez, Josh Brolin,Marley Shelton","Action,Comedy,Horror",2007
896,Concussion,123,Peter Landesman,"Will Smith, Alec Baldwin, Albert Brooks, David Morse","Biography,Drama,Sport",2015
897,The Fall,117,Tarsem Singh,"Lee Pace, Catinca Untaru, Justine Waddell, Kim Uylenbroek","Adventure,Comedy,Drama",2006
898,The Ugly Truth,96,Robert Luketic,"Katherine Heigl, Gerard Butler, Bree Turner, Eric Winter","Comedy,Romance",2009
899,Bride Wars,89,Gary Winick,"Kate Hudson, Anne Hathaway, Candice Bergen, Bryan Greenberg","Comedy,Romance",2009
900,Sleeping with Other People,101,Leslye Headland,"Jason Sudeikis, Alison Brie, Jordan Carlos,Margarita Levieva","Comedy,Drama,Romance",2015
901,Snakes on a Plane,105,David R. Ellis,"Samuel L. Jackson, Julianna Margulies, Nathan Phillips, Rachel Blanchard","Action,Adventure,Crime",2006
902,What If,98,Michael Dowse,"Daniel Radcliffe, Zoe Kazan, Megan Park, Adam Driver","Comedy,Romance",2013
903,How to Train Your Dragon 2,102,Dean DeBlois,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson","Animation,Action,Adventure",2014
904,RoboCop,117,JosÃ© Padilha,"Joel Kinnaman, Gary Oldman, Michael Keaton, Abbie Cornish","Action,Crime,Sci-Fi",2014
905,In Dubious Battle,110,James Franco,"Nat Wolff, James Franco, Vincent D'Onofrio, Selena Gomez",Drama,2016
906,"Hello, My Name Is Doris",95,Michael Showalter,"Sally Field, Max Greenfield, Tyne Daly, Wendi McLendon-Covey","Comedy,Drama,Romance",2015
907,Ocean's Thirteen,122,Steven Soderbergh,"George Clooney, Brad Pitt, Matt Damon,Michael Mantell","Crime,Thriller",2007
908,Slither,95,James Gunn,"Nathan Fillion, Elizabeth Banks, Michael Rooker, Don Thompson","Comedy,Horror,Sci-Fi",2006
909,Contagion,106,Steven Soderbergh,"Matt Damon, Kate Winslet, Jude Law, Gwyneth Paltrow","Drama,Thriller",2011
910,Il racconto dei racconti - Tale of Tales,133,Matteo Garrone,"Salma Hayek, Vincent Cassel, Toby Jones, John C. Reilly","Drama,Fantasy,Horror",2015
911,I Am the Pretty Thing That Lives in the House,87,Oz Perkins,"Ruth Wilson, Paula Prentiss, Lucy Boynton, Bob Balaban",Thriller,2016
912,Bridge to Terabithia,96,Gabor Csupo,"Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel, Robert Patrick","Adventure,Drama,Family",2007
913,Coherence,89,James Ward Byrkit,"Emily Baldoni, Maury Sterling, Nicholas Brendon, Elizabeth Gracen","Mystery,Sci-Fi,Thriller",2013
914,Notorious,122,George Tillman Jr.,"Jamal Woolard, Anthony Mackie, Derek Luke,Momo Dione","Biography,Crime,Drama",2009
915,Goksung,156,Hong-jin Na,"Jun Kunimura, Jung-min Hwang, Do-won Kwak, Woo-hee Chun","Drama,Fantasy,Horror",2016
916,The Expendables 2,103,Simon West,"Sylvester Stallone, Liam Hemsworth, Randy Couture,Jean-Claude Van Damme","Action,Adventure,Thriller",2012
917,The Girl Next Door,91,Gregory Wilson,"William Atherton, Blythe Auffarth, Blanche Baker,Kevin Chamberlin","Crime,Drama,Horror",2007
918,Perfume: The Story of a Murderer,147,Tom Tykwer,"Ben Whishaw, Dustin Hoffman, Alan Rickman,Francesc Albiol","Crime,Drama,Fantasy",2006
919,The Golden Compass,113,Chris Weitz,"Nicole Kidman, Daniel Craig, Dakota Blue Richards, Ben Walker","Adventure,Family,Fantasy",2007
920,Centurion,97,Neil Marshall,"Michael Fassbender, Dominic West, Olga Kurylenko,Andreas Wisniewski","Action,Adventure,Drama",2010
921,Scouts Guide to the Zombie Apocalypse,93,Christopher Landon,"Tye Sheridan, Logan Miller, Joey Morgan,Sarah Dumont","Action,Comedy,Horror",2015
922,17 Again,102,Burr Steers,"Zac Efron, Matthew Perry, Leslie Mann, Thomas Lennon","Comedy,Drama,Family",2009
923,No Escape,103,John Erick Dowdle,"Lake Bell, Pierce Brosnan, Owen Wilson,Chatchawai Kamonsakpitak","Action,Thriller",2015
924,Superman Returns,154,Bryan Singer,"Brandon Routh, Kevin Spacey, Kate Bosworth, James Marsden","Action,Adventure,Sci-Fi",2006
925,The Twilight Saga: Breaking Dawn - Part 1,117,Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Gil Birmingham","Adventure,Drama,Fantasy",2011
926,Precious,110,Lee Daniels,"Gabourey Sidibe, Mo'Nique, Paula Patton, Mariah Carey",Drama,2009
927,The Sea of Trees,110,Gus Van Sant,"Matthew McConaughey, Naomi Watts, Ken Watanabe,Ryoko Seta",Drama,2015
928,Good Kids,86,Chris McCoy,"Zoey Deutch, Nicholas Braun, Mateo Arias, Israel Broussard",Comedy,2016
929,The Master,144,Paul Thomas Anderson,"Philip Seymour Hoffman, Joaquin Phoenix,Amy Adams, Jesse Plemons",Drama,2012
930,Footloose,113,Craig Brewer,"Kenny Wormald, Julianne Hough, Dennis Quaid,Andie MacDowell","Comedy,Drama,Music",2011
931,If I Stay,107,R.J. Cutler,"ChloÃ« Grace Moretz, Mireille Enos, Jamie Blackley,Joshua Leonard","Drama,Fantasy,Music",2014
932,The Ticket,97,Ido Fluk,"Dan Stevens, Malin Akerman, Oliver Platt, Kerry BishÃ©",Drama,2016
933,Detour,97,Christopher Smith,"Tye Sheridan, Emory Cohen, Bel Powley,Stephen Moyer",Thriller,2016
934,The Love Witch,120,Anna Biller,"Samantha Robinson, Jeffrey Vincent Parise, Laura Waddell, Gian Keys","Comedy,Horror",2016
935,Talladega Nights: The Ballad of Ricky Bobby,108,Adam McKay,"Will Ferrell, John C. Reilly, Sacha Baron Cohen, Gary Cole","Action,Comedy,Sport",2006
936,The Human Centipede (First Sequence),92,Tom Six,"Dieter Laser, Ashley C. Williams, Ashlynn Yennie, Akihiro Kitamura",Horror,2009
937,Super,96,James Gunn,"Rainn Wilson, Ellen Page, Liv Tyler, Kevin Bacon","Comedy,Drama",2010
938,The Siege of Jadotville,108,Richie Smyth,"Jamie Dornan, Mark Strong, Jason O'Mara, Michael McElhatton","Action,Drama,Thriller",2016
939,Up in the Air,109,Jason Reitman,"George Clooney, Vera Farmiga, Anna Kendrick,Jason Bateman","Drama,Romance",2009
940,The Midnight Meat Train,98,RyÃ»hei Kitamura,"Vinnie Jones, Bradley Cooper, Leslie Bibb, Brooke Shields","Horror,Mystery",2008
941,The Twilight Saga: Eclipse,124,David Slade,"Kristen Stewart, Robert Pattinson, Taylor Lautner,Xavier Samuel","Adventure,Drama,Fantasy",2010
942,Transpecos,86,Greg Kwedar,"Johnny Simmons, Gabriel Luna, Clifton Collins Jr.,David Acord",Thriller,2016
943,What's Your Number?,106,Mark Mylod,"Anna Faris, Chris Evans, Ari Graynor, Blythe Danner","Comedy,Romance",2011
944,Riddick,119,David Twohy,"Vin Diesel, Karl Urban, Katee Sackhoff, Jordi MollÃ ","Action,Sci-Fi,Thriller",2013
945,Triangle,99,Christopher Smith,"Melissa George, Joshua McIvor, Jack Taylor,Michael Dorman","Fantasy,Mystery,Thriller",2009
946,The Butler,132,Lee Daniels,"Forest Whitaker, Oprah Winfrey, John Cusack, Jane Fonda","Biography,Drama",2013
947,King Cobra,91,Justin Kelly,"Garrett Clayton, Christian Slater, Molly Ringwald,James Kelley","Crime,Drama",2016
948,After Earth,100,M. Night Shyamalan,"Jaden Smith, David Denman, Will Smith,Sophie Okonedo","Action,Adventure,Sci-Fi",2013
949,Kicks,80,Justin Tipping,"Jahking Guillory, Christopher Jordan Wallace,Christopher Meyer, Kofi Siriboe",Adventure,2016
950,Me and Earl and the Dying Girl,105,Alfonso Gomez-Rejon,"Thomas Mann, RJ Cyler, Olivia Cooke, Nick Offerman","Comedy,Drama",2015
951,The Descendants,115,Alexander Payne,"George Clooney, Shailene Woodley, Amara Miller, Nick Krause","Comedy,Drama",2011
952,Sex and the City 2,146,Michael Patrick King,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon","Comedy,Drama,Romance",2010
953,The Kings of Summer,95,Jordan Vogt-Roberts,"Nick Robinson, Gabriel Basso, Moises Arias,Nick Offerman","Adventure,Comedy,Drama",2013
954,Death Race,105,Paul W.S. Anderson,"Jason Statham, Joan Allen, Tyrese Gibson, Ian McShane","Action,Sci-Fi,Thriller",2008
955,That Awkward Moment,94,Tom Gormican,"Zac Efron, Michael B. Jordan, Miles Teller, Imogen Poots","Comedy,Romance",2014
956,Legion,100,Scott Stewart,"Paul Bettany, Dennis Quaid, Charles S. Dutton, Lucas Black","Action,Fantasy,Horror",2010
957,End of Watch,109,David Ayer,"Jake Gyllenhaal, Michael PeÃ±a, Anna Kendrick, America Ferrera","Crime,Drama,Thriller",2012
958,3 Days to Kill,117,McG,"Kevin Costner, Hailee Steinfeld, Connie Nielsen, Amber Heard","Action,Drama,Thriller",2014
959,Lucky Number Slevin,110,Paul McGuigan,"Josh Hartnett, Ben Kingsley, Morgan Freeman, Lucy Liu","Crime,Drama,Mystery",2006
960,Trance,101,Danny Boyle,"James McAvoy, Rosario Dawson, Vincent Cassel,Danny Sapani","Crime,Drama,Mystery",2013
961,Into the Forest,101,Patricia Rozema,"Ellen Page, Evan Rachel Wood, Max Minghella,Callum Keith Rennie","Drama,Sci-Fi,Thriller",2015
962,The Other Boleyn Girl,115,Justin Chadwick,"Natalie Portman, Scarlett Johansson, Eric Bana,Jim Sturgess","Biography,Drama,History",2008
963,I Spit on Your Grave,108,Steven R. Monroe,"Sarah Butler, Jeff Branson, Andrew Howard,Daniel Franzese","Crime,Horror,Thriller",2010
964,Custody,104,James Lapine,"Viola Davis, Hayden Panettiere, Catalina Sandino Moreno, Ellen Burstyn",Drama,2016
965,Inland Empire,180,David Lynch,"Laura Dern, Jeremy Irons, Justin Theroux, Karolina Gruszka","Drama,Mystery,Thriller",2006
966,L'odyssÃ©e,122,JÃ©rÃ´me Salle,"Lambert Wilson, Pierre Niney, Audrey Tautou,Laurent Lucas","Adventure,Biography",2016
967,The Walk,123,Robert Zemeckis,"Joseph Gordon-Levitt, Charlotte Le Bon,Guillaume Baillargeon, Ãmilie Leclerc","Adventure,Biography,Crime",2015
968,Wrecker,83,Micheal Bafaro,"Anna Hutchison, Andrea Whitburn, Jennifer Koenig,Michael Dickson","Action,Horror,Thriller",2015
969,The Lone Ranger,150,Gore Verbinski,"Johnny Depp, Armie Hammer, William Fichtner,Tom Wilkinson","Action,Adventure,Western",2013
970,Texas Chainsaw 3D,92,John Luessenhop,"Alexandra Daddario, Tania Raymonde, Scott Eastwood, Trey Songz","Horror,Thriller",2013
971,Disturbia,105,D.J. Caruso,"Shia LaBeouf, David Morse, Carrie-Anne Moss, Sarah Roemer","Drama,Mystery,Thriller",2007
972,Rock of Ages,123,Adam Shankman,"Julianne Hough, Diego Boneta, Tom Cruise, Alec Baldwin","Comedy,Drama,Musical",2012
973,Scream 4,111,Wes Craven,"Neve Campbell, Courteney Cox, David Arquette, Lucy Hale","Horror,Mystery",2011
974,Queen of Katwe,124,Mira Nair,"Madina Nalwanga, David Oyelowo, Lupita Nyong'o, Martin Kabanza","Biography,Drama,Sport",2016
975,My Big Fat Greek Wedding 2,94,Kirk Jones,"Nia Vardalos, John Corbett, Michael Constantine, Lainie Kazan","Comedy,Family,Romance",2016
976,Dark Places,113,Gilles Paquet-Brenner,"Charlize Theron, Nicholas Hoult, Christina Hendricks, ChloÃ« Grace Moretz","Drama,Mystery,Thriller",2015
977,Amateur Night,92,Lisa Addario,"Jason Biggs, Janet Montgomery,Ashley Tisdale, Bria L. Murphy",Comedy,2016
978,It's Only the End of the World,97,Xavier Dolan,"Nathalie Baye, Vincent Cassel, Marion Cotillard, LÃ©a Seydoux",Drama,2016
979,The Skin I Live In,120,Pedro AlmodÃ³var,"Antonio Banderas, Elena Anaya, Jan Cornet,Marisa Paredes","Drama,Thriller",2011
980,Miracles from Heaven,109,Patricia Riggen,"Jennifer Garner, Kylie Rogers, Martin Henderson,Brighton Sharbino","Biography,Drama,Family",2016
981,Annie,118,Will Gluck,"QuvenzhanÃ© Wallis, Cameron Diaz, Jamie Foxx, Rose Byrne","Comedy,Drama,Family",2014
982,Across the Universe,133,Julie Taymor,"Evan Rachel Wood, Jim Sturgess, Joe Anderson, Dana Fuchs","Drama,Fantasy,Musical",2007
983,Let's Be Cops,104,Luke Greenfield,"Jake Johnson, Damon Wayans Jr., Rob Riggle, Nina Dobrev",Comedy,2014
984,Max,111,Boaz Yakin,"Thomas Haden Church, Josh Wiggins, Luke Kleintank,Lauren Graham","Adventure,Family",2015
985,Your Highness,102,David Gordon Green,"Danny McBride, Natalie Portman, James Franco, Rasmus Hardiker","Adventure,Comedy,Fantasy",2011
986,Final Destination 5,92,Steven Quale,"Nicholas D'Agosto, Emma Bell, Arlen Escarpeta, Miles Fisher","Horror,Thriller",2011
987,Endless Love,104,Shana Feste,"Gabriella Wilde, Alex Pettyfer, Bruce Greenwood,Robert Patrick","Drama,Romance",2014
988,Martyrs,99,Pascal Laugier,"Morjana Alaoui, MylÃ¨ne JampanoÃ¯, Catherine BÃ©gin,Robert Toupin",Horror,2008
989,Selma,128,Ava DuVernay,"David Oyelowo, Carmen Ejogo, Tim Roth, Lorraine Toussaint","Biography,Drama,History",2014
990,Underworld: Rise of the Lycans,92,Patrick Tatopoulos,"Rhona Mitra, Michael Sheen, Bill Nighy, Steven Mackintosh","Action,Adventure,Fantasy",2009
991,Taare Zameen Par,165,Aamir Khan,"Darsheel Safary, Aamir Khan, Tanay Chheda, Sachet Engineer","Drama,Family,Music",2007
992,Take Me Home Tonight,97,Michael Dowse,"Topher Grace, Anna Faris, Dan Fogler, Teresa Palmer","Comedy,Drama,Romance",2011
993,Resident Evil: Afterlife,97,Paul W.S. Anderson,"Milla Jovovich, Ali Larter, Wentworth Miller,Kim Coates","Action,Adventure,Horror",2010
994,Project X,88,Nima Nourizadeh,"Thomas Mann, Oliver Cooper, Jonathan Daniel Brown, Dax Flame",Comedy,2012
995,Secret in Their Eyes,111,Billy Ray,"Chiwetel Ejiofor, Nicole Kidman, Julia Roberts, Dean Norris","Crime,Drama,Mystery",2015
996,Hostel: Part II,94,Eli Roth,"Lauren German, Heather Matarazzo, Bijou Phillips, Roger Bart",Horror,2007
997,Step Up 2: The Streets,98,Jon M. Chu,"Robert Hoffman, Briana Evigan, Cassie Ventura, Adam G. Sevani","Drama,Music,Romance",2008
998,Search Party,93,Scot Armstrong,"Adam Pally, T.J. Miller, Thomas Middleditch,Shannon Woodward","Adventure,Comedy",2014
999,Nine Lives,87,Barry Sonnenfeld,"Kevin Spacey, Jennifer Garner, Robbie Amell,Cheryl Hines","Comedy,Family,Fantasy",2016
1000,Aastha: In the Prison of Spring,132,Basu Bhattacharya,"Rekha, Om Puri, Dinesh Thakur",Drama,1997
1001,Aatank,113,Prem Lalwani,"Desh Mukherjee, Nafisa Ali, Dharmendra","Action, Thriller",1996
1002,Aatank Hi Aatank,155,Dilip Shankar,"Rajinikanth, Aamir Khan, Juhi Chawla","Action, Crime, Drama",1995
1003,Aatank Raj,118,R. Mittal,"Mohan Joshi, Bharat Kapoor, Arshad Khan",Action,1999
1004,Aathi,167,Ramana,"Joseph Vijay, Trisha Krishnan, Vivek","Action, Drama, Thriller",2006
1005,Aati... Kya!!!,130,Jasbir Bijender Bhati,"Vikas Kailash, -, -",Comedy,0
1006,Aatish,139,Ambrish Sangal,"Jeetendra, Neetu Singh, Dheeraj Kumar",Action,1979
1007,Aatish: Feel the Fire,155,Sanjay Gupta,"Sanjay Dutt, Aditya Pancholi, Raveena Tandon","Action, Crime, Drama",1994
1008,Aatma,107,Deepak Ramsay,"Kapil Jhaveri, Shabana Raza, Vikram Singh","Crime, Drama, Horror",2006
1009,Aatma,100,Suparn Varma,"Jaideep Ahlawat, Bipasha Basu, Padam Bhola","Drama, Horror, Thriller",2013
1010,Aatma Aur Parmatma,0,nan,"-, -, -",Thriller,1978
1011,Aatma Aur Parmatma,109,Keerthi Chawla,"Anant Nag, Bullet Prakash, -",Horror,2004
1012,Aavartan,116,Durba Sahay,"Sushma Seth, Shovana Narayan, Sunit Razdan",Musical,2021
1013,Aavida Maa Aavide,153,E.V.V. Satyanarayana,"Nagarjuna Akkineni, Tabu, Heera Rajgopal","Comedy, Romance",1998
1014,Aavishkar,107,Basu Bhattacharya,"Rajesh Khanna, Sharmila Tagore, Dina Pathak","Drama, Romance",1974
1015,Aawaz,146,Zia Sarhadi,"Nalini Jaywant, Nasir Hussain, Usha Kiran",Romance,1956
1016,Aawaz De Kahan Hai,0,Sibte Hassan Rizvi,"Bindu, Annu Kapoor, Satyendra Kapoor","Drama, Romance",1990
1017,Aaya Hai Dulha Dulhan Le Jayega (AHDDLJ),0,Dharmesh Tiwari,"Rucha Gujrati, Amit Agarwal, -","Family, Music, Musical",2018
1018,Aaya Jawani Jhoom Ke,0,Silk Smitha,"-, -, -",Thriller,1994
1019,Aaya Toofan,128,Mohammed Hussain,"Kedar Kapoor, Dara Singh, Helen","Action, Adventure, Fantasy",1964
1020,Aaya Toofan,111,Deepak Balraj Vij,"Mithun Chakraborty, Aditya Pancholi, Gulshan Grover",Action,1999
1021,Aaya Yauwan Jhoom Ke,0,Papu Bahruz,"Rajendra Gupta, Johnny Lever, Kirti Rawal",Drama,1999
1022,Aayaam,0,Mihir Kumar Sharma,"Deepak Singh, Deeksha Panth, Chirag Dave",Drama,2021
1023,Aaye Din Bahar Ke,170,Raghunath Jhalani,"Asha Parekh, Dharmendra, Balraj Sahni","Musical, Romance",1966
1024,Aayi Tere Yaad,0,Krishna Naidu,"Rajni Bala, Birbal, Meera",Drama,1980
1025,Aazaan,125,Prashant Chadha,"Sachiin Joshi, Candice Boucher, Arya Babbar","Action, Musical, Thriller",2011
1026,Aazmayish,147,Sachin Pilgaonkar,"Sachin, Rohit Kumar Sharma, Dharmendra","Action, Drama, Romance",1995
